legacyCategory,legacyId,sourceCompanyName,displayName,url,logo,showHide,hideReason,parentLegacyId,desc,primarySector,secondarySector,tertiarySector,quaternarySector,quinarySector,senarySector
Apparel,13068,Coast Maintenance Supply Company,Coast Maintenance Supply Company,http://coastmaint.com,,Show,,13068,"Wholesale supply company for janitorial personal care, office, food, and packaging products",Wholesalers,,,,,
Apparel,13070,Corcraft Products,Corcraft Products,http://corcraft.org,,Category,,13070,,Public Administration,,,,,
Apparel,13071,CORE Products Company,CORE Products Company,http://coreproductsco.com,,Category,,13071,,Industrial Cleaning Products,,,,,
Apparel,13072,CRS Facility Services,CRS Facility Services,http://2crs.com,,Show,,13072,Check,Cleaning Services,,,,,
Apparel,13073,CT Commercial Paper Company,CT Commercial Paper Company,http://ctcpaper.com,,Category,,13073,,Paper Products,,,,,
Apparel,13074,Dalco Enterprises,Dalco Enterprises,http://dalcoonline.com,,Category,,13074,"Cleaning products, training, and equipment service",Industrial Cleaning Products,,,,,
Apparel,13075,Daycon Products Company,Daycon Products Company,http://daycon.com,,Show,,13075,Check,Consulting Services,,,,,
Apparel,13076,Detco Industries,Detco Industries,http://detco.com,,Category,,13076,,Chemicals,,,,,
Apparel,13077,DeVere,DeVere,http://deverechemical.com,,Show,,13077,Check,Transportation Services,,,,,
Apparel,13078,Dial Corporation,Dial Corporation,http://dialsoap.com,,Show,,13078,Soaps and lotions for personal care,Soap & Bath Products,,,,,
Travel Services,17607,Dial,Dial,https://www.dialprofessional.com/,https://findlogovector.com/wp-content/uploads/2019/02/dial-professional-logo-vector.png,Show,,13078,Parent company that owns multiple subsidiaries producing and selling cleaning goods,Cleaning Supplies,,,,,
Travel Services,17608,Renuzit,Renuzit,https://www.renuzit.com/,,Show,,13078,Air refreshers and fragrances for home,Cleaning Supplies,,,,,
Travel Services,17609,soft-scrub,soft-scrub,https://www.softscrub.com/,https://www.henkel-northamerica.com/resource/image/27570/1x1/1000/1000/e295ae0b870e4da36c50ff36888eca60/ov/soft-scrub-logo.png,Show,,13078,Home cleaning products,Cleaning Supplies,,,,,
Travel Services,17610,all stainlifter,all stainlifter,https://www.all-laundry.com/,https://www.kindpng.com/picc/m/428-4288137_all-logo-all-laundry-detergent-logo-hd-png.png,Show,,13078,Laundry products and other cleaning supplies,Cleaning Supplies,,,,,
Travel Services,17611,purex,purex,https://www.purex.com/,https://logodix.com/logo/2176724.png,Show,,13078,Laundry products and other cleaning supplies,Cleaning Supplies,,,,,
Apparel,13080,Dissan Group,Dissan Group,http://dissan.com,,Show,,13080,Check,Transportation Services,,,,,
Apparel,13081,Diversey Inc,Diversey,http://diversey.com,,Show,,13081,Check,Cleaning Services,,,,,
Apparel,13082,Doubletree by Hilton Hotel & Suites Pittsburg Downtown,Doubletree by Hilton Hotel & Suites Pittsburg Downtown,https://www.hilton.com/en/hotels/pitdtdt-doubletree-hotel-and-suites-pittsburgh-downtown/,,Show,,13082,,Upscale,,,,,
Apparel,13083,Downtown Grand Hotel,Downtown Grand Hotel,http://downtowngrand.com,,Show,,13083,,Accommodations,,,,,
Apparel,13084,"DPM Enterprises, Inc.",DPM Enterprises,http://dpmcare.com,,Show,,13084,Check,Cleaning Services,,,,,
Apparel,13085,Drew Marine,Drew Marine,http://drew-marine.com,,Category,,13085,,Chemicals,,,,,
Apparel,13086,DSC,DSC,http://dsc.com,,Show,,13086,,Hardware,"Electronics, Gadgets & Accessories",,,,
Apparel,13087,"Dynasol, Inc.",Dynasol,http://dynasolinc.com,,Category,,13087,,Industrial Cleaning Products,,,,,
Apparel,13088,EATware Food Packaging Ltd.,EATware Food Packaging,,,Category,,13088,,Food & Beverage,,,,,
Apparel,13089,Econo Building Maintenance Inc.,Econo Building Maintenance,,,Category,,13089,,Industrial Cleaning Products,,,,,
Apparel,13090,ECORE International,ECORE International,http://ecoreintl.com,,Category,,13090,check,Construction & Related Materials,,,,,
Apparel,13091,Edmar Cleaning Corporation,Edmar Cleaning,,,Hide,closed permanently,13091,Check,Transportation Services,,,,,
Apparel,13092,Element Iowa City,Element Iowa City,,,Show,,13092,I think its a marriott brand,Accommodations,,,,,
Apparel,13093,Element Seattle Redmond,Element Seattle Redmond,,,Show,,13093,,Accommodations,,,,,
Apparel,13094,"Enozo Technologies, Inc.",Enozo Technologies,http://enozo.com,,Category,,13094,,Industrial Cleaning Products,,,,,
Apparel,13095,"Enviro-Brands, LLC",Enviro-Brands,http://shop.enviro-brands.com,,Category,,13095,,Industrial Cleaning Products,,,,,
Apparel,13096,"Envirochemical, Inc.",Envirochemical,http://envirochemical.com,,Category,,13096,,Chemicals,,,,,
Apparel,13097,Enviroplus Products,Enviroplus Products,http://enviroplusproducts.com.au,,Category,,13097,,Chemicals,,,,,
Apparel,13098,EnvirOx,EnvirOx,http://enviroxclean.com,,Category,,13098,,Industrial Cleaning Products,,,,,
Apparel,13099,eSourceDirect,eSourceDirect,https://medrio.com/products/ddc/,,Show,,13099,,Apps,,,,,
Apparel,13100,Essendant,Essendant,http://essendant.com,,Show,,13100,"Distributer for janitorial, food serivce, office, and printing supplies",Wholesalers,,,,,
Apparel,13101,"Essential Industries, Inc.",Essential Industries,http://essind.com,,Category,,13101,,Chemicals,,,,,
Apparel,13102,Essity Professional Hygiene North America LLC,Essity Professional Hygiene North America,http://essity.com,,Show,,13102,Check,Transportation Services,,,,,
Apparel,13103,"Evergreen Janitorial Services, Inc.",Evergreen Janitorial Services,http://evergreen4u.com,,Show,,13103,Check,Janitorial Services,,,,,
Apparel,13104,Executive Building Maintenance Inc.,Executive Building Maintenance,http://ebmcorp.net,,Show,,13104,Check,Cleaning Services,,,,,
Apparel,13105,"Executive Maintenance, Inc.",Executive Maintenance,http://emi-clean.com,,Show,,13105,Check,Cleaning Services,,,,,
Apparel,13106,"Executive Management Services, Inc",Executive Management Services,http://emsinc.com,,Show,,13106,Check,Cleaning Services,,,,,
Apparel,13107,"Exemplar Enterprises, Inc.",Exemplar Enterprises,http://exemplarenterprises.com,,Show,,13107,,Legal Services,,,,,
Apparel,13108,Fabrica de Papel San Francisco,Fabrica de Papel San Francisco,http://papelsanfrancisco.com,,Category,,13108,,Sanitary Paper Products,,,,,
Apparel,13109,"Facilities Performance Group, LLC",Facilities Performance Group,http://fpg-llc.com,,Show,,13109,Check,Cleaning Services,,,,,
Apparel,13110,Fastenal,Fastenal,http://fastenal.com,,Show,,13110,"Wholesaler of power, safety, janitorial tools, and hardware.",Wholesalers,,,,,
